id,origin,name,code,valid_from,valid_to,usage_date
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WCZF-GL5C","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-W5ZF-N98H","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WDZF-5NW9","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WXZF-N9CZ","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WWZF-ENKE","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WEZF-KZ5C","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-W9ZF-9C9F","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WLZF-L8CF","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WPZF-K8DK","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WZZF-PZEE","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-WHZF-EHK5","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-E8ZF-LFDL","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EGZF-Z58Z","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EFZF-LPDZ","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EKZF-GKZZ","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-ENZF-LELD","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-ECZF-KFGW","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-E5ZF-DG5D","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EDZF-WLLX","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EXZF-WZZX","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EWZF-ZWDN","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EEZF-KDPP","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-E9ZF-FFLP","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-ELZF-Z9DF","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EPZF-DK99","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EZZF-DHLE","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-EHZF-Z99Z","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-98ZF-GCWN","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-9GZF-LP9L","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-9FZF-WEP5","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-9KZF-GN5G","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-9NZF-DWFF","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-9CZF-5N9N","2019-05-01","2019-12-31",""
